branch,input_ng,rt_bin,phospho_sum_mean
wCleanup,500,6.75,5917163.283784628
wCleanup,500,7.25,4894972.454046875
wCleanup,500,7.75,5462299.038808525
wCleanup,500,8.25,5039865.83736971
wCleanup,500,8.75,4640819.402202308
wCleanup,500,9.25,5130538.653157175
wCleanup,500,9.75,5312331.690961629
wCleanup,500,10.25,4638018.91256696
wCleanup,500,10.75,4397751.042626798
wCleanup,500,11.25,4932332.733872771
wCleanup,500,11.75,5482004.264641613
wCleanup,500,12.25,5117780.758106977
wCleanup,500,12.75,4078285.8215684593
wCleanup,500,13.25,4327567.886754274
wCleanup,500,13.75,2810364.971308559
wCleanup,500,14.25,1113348.1830561757
wCleanup,500,14.75,276095.27017349005
wCleanup,500,15.25,36351.873596191406
wCleanup,500,15.75,31.317732810974128
wCleanup,1000,4.25,3385706.5719707906
wCleanup,1000,4.75,8063418.425560713
wCleanup,1000,5.25,12593401.464734763
wCleanup,1000,5.75,12856125.478242636
wCleanup,1000,6.25,11379784.299797177
wCleanup,1000,6.75,15343805.234703898
wCleanup,1000,7.25,10658640.600601435
wCleanup,1000,7.75,12093736.841827065
wCleanup,1000,8.25,11984079.801147193
wCleanup,1000,8.75,11875717.846450686
wCleanup,1000,9.25,11762632.120326519
wCleanup,1000,9.75,15174581.413166523
wCleanup,1000,10.25,12209256.973490179
wCleanup,1000,10.75,10666701.966751993
wCleanup,1000,11.25,11306267.518675148
wCleanup,1000,11.75,12666484.341242194
wCleanup,1000,12.25,11287108.54862231
wCleanup,1000,12.75,8599572.095699042
wCleanup,1000,13.25,9514781.048773825
wCleanup,1000,13.75,6258038.932622403
wCleanup,1000,14.25,2658868.2725695074
wCleanup,1000,14.75,893621.3440105319
wCleanup,1000,15.25,102534.96159172058
wCleanup,1000,15.75,232.19420766830444
woCleanup,10,4.25,19014.066903203726
woCleanup,10,4.75,76625.4598454237
woCleanup,10,5.25,89237.16429451108
woCleanup,10,5.75,95977.17636352777
woCleanup,10,6.25,95053.37831449509
woCleanup,10,6.75,84249.61408880353
woCleanup,10,7.25,120861.84872591496
woCleanup,10,7.75,91207.36141908169
woCleanup,10,8.25,111267.77704104781
woCleanup,10,8.75,69760.25376862288
woCleanup,10,9.25,133208.25830993056
woCleanup,10,9.75,176771.01756364107
woCleanup,10,10.25,60157.4365542531
woCleanup,10,10.75,56604.99393573403
woCleanup,10,11.25,49594.55095240474
woCleanup,10,11.75,64664.833470612764
woCleanup,10,12.25,109816.75891321898
woCleanup,10,12.75,38137.10756790638
woCleanup,10,13.25,43306.64091002941
woCleanup,10,13.75,19372.953238725662
woCleanup,10,14.25,18786.41767027974
woCleanup,10,14.75,1626.5303974151611
woCleanup,10,15.25,512.9861402511597
woCleanup,20,4.25,59476.962049394846
woCleanup,20,4.75,251387.31795957685
woCleanup,20,5.25,250407.14030748606
woCleanup,20,5.75,278506.04041981697
