UniProt	KEGG name
P60710;P02570;P70514;P99021;Q11211;Q3TI89;Q3TVP6;Q64316;Q6ZWM3	Phagosome;Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Phototransduction - fly;Regulation of actin cytoskeleton;Bacterial invasion of epithelial cells;Vibrio cholerae infection;Pathogenic Escherichia coli infection;Shigellosis;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy;Viral myocarditis
Q9JI91;G3UW84	Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Amoebiasis;Systemic lupus erythematosus;Arrhythmogenic right ventricular cardiomyopathy (ARVC)
Q64326	Neuroactive ligand-receptor interaction
O88990;Q14DS8	Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Amoebiasis;Systemic lupus erythematosus;Arrhythmogenic right ventricular cardiomyopathy (ARVC)
P57780	Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Amoebiasis;Systemic lupus erythematosus;Arrhythmogenic right ventricular cardiomyopathy (ARVC)
P37172;Q3UDH5;Q91VF1	Cytokine-cytokine receptor interaction;TGF-beta signaling pathway
Q61271	Cytokine-cytokine receptor interaction
Q8R3P0;Q5SV07;Q9D876;Q9DCE2;Q9JIN8	Alanine, aspartate and glutamate metabolism;Histidine metabolism
P56376;Q0VG40;Q545K8;Q6P8S7	Pyruvate metabolism;Aminobenzoate degradation
Q91XE4;Q3UP59;Q9DD17	Alanine, aspartate and glutamate metabolism;Histidine metabolism
P56375;Q5SPV7;Q8BQX2	Pyruvate metabolism;Aminobenzoate degradation
Q99JW2;Q9CR15	Arginine and proline metabolism
Q01338;Q3URE6	Neuroactive ligand-receptor interaction
Q01337	Neuroactive ligand-receptor interaction
P97718;O54913;Q8BV77	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Vascular smooth muscle contraction;Salivary secretion
O35598;B8JJJ0	Alzheimer's disease;Epithelial cell signaling in Helicobacter pylori infection
P30545;F8VQ23	Neuroactive ligand-receptor interaction
Q8C0I1	Ether lipid metabolism;Peroxisome
Q9Z0F8;O88726;Q505A7;Q9R1U4;Q9Z0K3	Notch signaling pathway;Alzheimer's disease;Epithelial cell signaling in Helicobacter pylori infection
Q91WF3	Purine metabolism;Calcium signaling pathway;Chemokine signaling pathway;Oocyte meiosis;Vascular smooth muscle contraction;Gap junction;Taste transduction;GnRH signaling pathway;Progesterone-mediated oocyte maturation;Melanogenesis;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Dilated cardiomyopathy
P51830;Q61279	Purine metabolism;Calcium signaling pathway;Chemokine signaling pathway;Oocyte meiosis;Vascular smooth muscle contraction;Gap junction;GnRH signaling pathway;Progesterone-mediated oocyte maturation;Melanogenesis;Endocrine and other factor-regulated calcium reabsorption;Vasopressin-regulated water reabsorption;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Vibrio cholerae infection;Dilated cardiomyopathy
P03958	Purine metabolism;Primary immunodeficiency
Q8C0T9;B2RRJ9;Q3V0F8	Purine metabolism
O88444;Q5SS89	Purine metabolism;Calcium signaling pathway;Chemokine signaling pathway;Oocyte meiosis;Vascular smooth muscle contraction;Gap junction;Long-term potentiation;GnRH signaling pathway;Progesterone-mediated oocyte maturation;Melanogenesis;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Chagas disease (American trypanosomiasis);Amoebiasis;Dilated cardiomyopathy
P84309;Q3TU67;Q3UH09;Q5BL06	Purine metabolism;Chemokine signaling pathway;Oocyte meiosis;Vascular smooth muscle contraction;Gap junction;GnRH signaling pathway;Progesterone-mediated oocyte maturation;Melanogenesis;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Dilated cardiomyopathy
Q8VHH7;B8JK57	Purine metabolism;Calcium signaling pathway;Chemokine signaling pathway;Oocyte meiosis;Vascular smooth muscle contraction;Gap junction;Olfactory transduction;GnRH signaling pathway;Progesterone-mediated oocyte maturation;Melanogenesis;Vasopressin-regulated water reabsorption;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Vibrio cholerae infection;Dilated cardiomyopathy
P51829;Q3U3P2	Purine metabolism;Calcium signaling pathway;Chemokine signaling pathway;Oocyte meiosis;Vascular smooth muscle contraction;Gap junction;GnRH signaling pathway;Progesterone-mediated oocyte maturation;Melanogenesis;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Dilated cardiomyopathy
P97490;G3X8V9	Purine metabolism;Calcium signaling pathway;Chemokine signaling pathway;Oocyte meiosis;Vascular smooth muscle contraction;Gap junction;Long-term potentiation;Taste transduction;GnRH signaling pathway;Progesterone-mediated oocyte maturation;Melanogenesis;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Dilated cardiomyopathy
P00329	Glycolysis / Gluconeogenesis;Fatty acid metabolism;Tyrosine metabolism;Retinol metabolism;Metabolism of xenobiotics by cytochrome P450;Drug metabolism - cytochrome P450
Q64437	Glycolysis / Gluconeogenesis;Fatty acid metabolism;Tyrosine metabolism;Retinol metabolism;Metabolism of xenobiotics by cytochrome P450;Drug metabolism - cytochrome P450
Q9QYY9;Q3V0P5	Glycolysis / Gluconeogenesis;Fatty acid metabolism;Tyrosine metabolism;Retinol metabolism;Metabolism of xenobiotics by cytochrome P450;Drug metabolism - cytochrome P450
Q8VC66;Q8BG59;Q8C7X0;Q8K2F7	Adherens junction
P28474;Q3TW83;Q8C662	Glycolysis / Gluconeogenesis;Fatty acid metabolism;Tyrosine metabolism;Chloroalkane and chloroalkene degradation;Naphthalene degradation;Methane metabolism;Retinol metabolism;Metabolism of xenobiotics by cytochrome P450;Drug metabolism - cytochrome P450
P18762;Q8BH38	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Endocytosis;Salivary secretion
P55264;Q6JAM3;Q91VJ3	Purine metabolism
Q99KS6;Q5SUD1;Q9D7K9	Purine metabolism;Glycerophospholipid metabolism
P97297;P97453;Q6GTK2	Vascular smooth muscle contraction
P34971;B2RVY4	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Endocytosis;Gap junction;Salivary secretion;Dilated cardiomyopathy
Q8VDL4;Q8C7Y9;Q9D0H2	Glycolysis / Gluconeogenesis
Q60994;Q62400;Q6GTX4;Q9DC68	PPAR signaling pathway;Adipocytokine signaling pathway;Type II diabetes mellitus
P25962;A2RS74;Q9QZ98	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Endocytosis;Salivary secretion
P51881;Q61311	Calcium signaling pathway;Parkinson's disease;Huntington's disease
